index,user,samples,penalty,decay,espsilon,nu,sigma,3_low_bound,3_up_bound,E,Var,mu_first
93,s002,0-50,1,0.1,-3,-1.138091229,0.018893341,0.302773205,0.339116624,0.320487261,0.037799155,0.609251243
94,s002,50-100,1,0.1,-3,-0.964755428,0.006064417,0.374206057,0.388072858,0.381083396,0.053427093,0.772084922
95,s002,100-150,1,0.1,-3,-0.870851392,0.002705926,0.415210703,0.422006901,0.418596542,0.064461435,0.8460072
96,s002,150-200,1,0.1,-3,-0.789514314,0.002892452,0.450142234,0.458022506,0.454067174,0.075848914,0.94946111
97,s002,200-250,1,0.1,-3,-0.811729568,0.010113811,0.430817376,0.457770123,0.444112032,0.072566307,0.983697714
98,s002,250-300,1,0.1,-3,-1.376976622,0.0645437,0.207918787,0.306252448,0.25286648,0.023620945,1.073688928
99,s002,300-350,1,0.1,-3,-0.775283595,0.005251402,0.453374039,0.467886569,0.460579497,0.078041696,0.958623501
100,s002,350-400,1,0.1,-3,-0.764847092,0.00231441,0.462184867,0.468647749,0.465406336,0.079684239,0.808627077
101,s002,0-50,10,0.3,-3,-1.329184736,0.014662315,0.25330229,0.27659587,0.264721422,0.025785589,0.611802884
102,s002,50-100,10,0.3,-3,-1.469938624,0.034606743,0.207264639,0.255095219,0.23007733,0.019497247,0.773189062
103,s002,100-150,10,0.3,-3,-1.490321728,0.029850694,0.206001092,0.246407245,0.225400559,0.018706928,0.846775508
104,s002,150-200,10,0.3,-3,-1.475423863,0.033128609,0.207046952,0.252577276,0.228807301,0.019280661,0.949841808
105,s002,200-250,10,0.3,-3,-1.623021855,0.132385501,0.132631807,0.293503606,0.199038124,0.01483165,0.991175778
106,s002,250-300,10,0.3,-3,-1.627888929,0.073692848,0.157399602,0.24492325,0.196877492,0.01433693,1.079207501
107,s002,300-350,10,0.3,-3,-1.495284757,0.049829152,0.193056534,0.260332062,0.224463249,0.018581225,0.959038101
108,s002,350-400,10,0.3,-3,-1.280986895,0.015554892,0.265099098,0.291031951,0.277796647,0.028396486,0.808582253
109,s002,0-50,10,0.5,-3,-1.431228701,0.017999395,0.226450956,0.252276262,0.239053785,0.021029913,0.609301642
110,s002,50-100,10,0.5,-3,-1.585570274,0.044380358,0.179297051,0.234001161,0.205032769,0.015495567,0.766403573
111,s002,100-150,10,0.5,-3,-1.610581925,0.040224765,0.177061842,0.225393474,0.199933012,0.014729135,0.842373465
112,s002,150-200,10,0.5,-3,-1.624832148,0.048905428,0.170069444,0.228066993,0.197180391,0.014337442,0.94675031
113,s002,200-250,10,0.5,-3,-1.797193694,0.214171366,0.087186324,0.315158499,0.169609082,0.011079612,0.98258105
114,s002,250-300,10,0.5,-3,-1.881924167,0.128317566,0.103635342,0.223806941,0.153555768,0.008818376,1.07509903
115,s002,300-350,10,0.5,-3,-1.643387491,0.072672723,0.155453962,0.240419654,0.193835227,0.013895193,0.958190089
116,s002,350-400,10,0.5,-3,-1.389362625,0.019682215,0.234943723,0.264393705,0.24928239,0.022869515,0.805616885
117,s002,0-50,10,0.1,-3,-0.967294059,0.003822529,0.375776154,0.38449424,0.380112981,0.053154161,0.614158562
118,s002,50-100,10,0.1,-3,-0.962686503,0.005991997,0.37506254,0.388792106,0.381872479,0.053648531,0.77566356
119,s002,100-150,10,0.1,-3,-0.963767462,0.006052884,0.374588902,0.388443011,0.381460053,0.053532751,0.77336349
120,s002,150-200,10,0.1,-3,-0.790701586,0.002899629,0.44959843,0.457488881,0.453528402,0.075669027,0.952042798
121,s002,200-250,10,0.1,-3,-0.810601553,0.009973422,0.431485307,0.458093812,0.444612653,0.072729793,0.982758001
122,s002,250-300,10,0.1,-3,-0.673809155,0.003744932,0.504068075,0.515522485,0.509766683,0.095599254,1.08264286
123,s002,300-350,10,0.1,-3,-0.776034615,0.005207667,0.453093118,0.467473968,0.460233617,0.077924491,0.958112883
124,s002,350-400,10,0.1,-3,-0.765969636,0.002335904,0.461636567,0.468152153,0.464884214,0.079505557,0.815035268
125,s036,12000-12050,10,0.1,-3,-1.216774976,0.02791475,0.272390324,0.322055713,0.296299249,0.032322507,0.302412755
126,s036,12050-12100,10,0.1,-3,-1.031388681,0.008628095,0.347401897,0.36586005,0.356524806,0.046764614,0.426654054
127,s036,12100-12150,10,0.1,-3,-1.070421442,0.011464307,0.331272373,0.354861211,0.342886522,0.0432577,0.400730359
128,s036,12150-12200,10,0.1,-3,-1.083427198,0.012947187,0.325540383,0.351837578,0.338462024,0.042150061,0.406512287
129,s036,12200-12250,10,0.1,-3,-1.003811419,0.005959938,0.359985606,0.373091491,0.366486476,0.049412503,0.44583088
130,s036,12250-12300,10,0.1,-3,-0.990141589,0.001198406,0.370190772,0.372862198,0.371524351,0.050778598,0.516999574
131,s036,12300-12350,10,0.1,-3,-0.973012624,0.001039794,0.376765612,0.37912351,0.377942926,0.052548271,0.502940135
132,s036,12350-12400,10,0.1,-3,-1.052328763,0.016297558,0.332464751,0.366617544,0.349170144,0.044863699,0.405440812
133,s002,0-200,10,0.5,-3,-1.425663909,0.068211216,0.195871283,0.294926159,0.240908635,0.021450179,0.783751019
134,s047,16000-16200,10,0.7,-3,-1.491069394,0.030604597,0.205382089,0.246780598,0.225237231,0.018680679,0.582473383
135,s052,18000-18200,10,1,-3,-1.497397233,0.057488951,0.188272653,0.265821465,0.224081659,0.018533331,0.712031687
136,,,,,,,,,,,,
137,,,,,,,,,,,,
138,,,,,,,,,,,,
